City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
233,Flinders,AU,-34.5833,150.8552,50.25,76,62,1.99,2022-08-15 16:18:25,broken clouds
234,Yulara,AU,-25.2406,130.9889,54.97,40,0,9.08,2022-08-15 16:18:25,clear sky
235,Mackay,AU,-21.15,149.2,58.39,53,18,6.58,2022-08-15 16:18:26,few clouds
236,Honiara,SB,-9.4333,159.95,76.3,87,99,3.51,2022-08-15 16:18:26,overcast clouds
237,Waipawa,NZ,-41.4122,175.5153,42.67,83,97,5.68,2022-08-15 16:18:27,moderate rain
238,Isla Vista,US,34.4133,-119.861,90.34,77,0,5.75,2022-08-15 16:18:27,clear sky
239,Fengcheng,CN,40.4536,124.0717,64.35,93,0,5.3,2022-08-15 16:18:28,clear sky
240,Letpadan,MM,17.7833,95.75,77.47,93,85,4.76,2022-08-15 16:18:28,overcast clouds
241,Mayya,RU,61.7333,130.2811,54.72,97,82,3.87,2022-08-15 16:18:29,broken clouds
242,Pietrari,RO,45.1,24.1333,76.06,60,100,3.74,2022-08-15 16:18:29,light rain
243,Galle,LK,6.0367,80.217,79.16,86,79,7.02,2022-08-15 16:18:29,broken clouds
244,Santa Maria,BR,-29.6842,-53.8069,68.85,82,100,8.68,2022-08-15 16:18:30,overcast clouds
245,Luwuk,ID,-0.9516,122.7875,76.21,86,100,6.62,2022-08-15 16:18:30,overcast clouds
246,Wahpeton,US,46.2652,-96.6059,75.92,78,0,14.97,2022-08-15 16:18:31,clear sky
247,Lamar,US,33.6668,-95.5836,96.64,49,0,8.05,2022-08-15 16:18:31,clear sky
248,Atambua,ID,-9.1061,124.8925,69.1,85,57,5.21,2022-08-15 16:18:31,broken clouds
249,Northam,GB,51.0333,-4.2167,66.25,72,76,8.61,2022-08-15 16:18:32,broken clouds
250,Lubu,CN,23.1742,112.2809,80.82,88,68,1.68,2022-08-15 16:18:32,broken clouds
251,Solnechnyy,RU,50.7214,136.6319,57.85,88,0,2.98,2022-08-15 16:18:33,clear sky
252,Sinnamary,GF,5.3833,-52.95,84.15,65,14,7.56,2022-08-15 16:18:33,few clouds
253,Sayyan,YE,15.1718,44.3244,67.77,56,100,0.49,2022-08-15 16:18:33,overcast clouds
254,Rabo De Peixe,PT,37.8,-25.5833,78.31,65,20,12.66,2022-08-15 16:18:34,few clouds
255,Bubaque,GW,11.2833,-15.8333,80.94,81,89,16.51,2022-08-15 16:18:34,overcast clouds
256,Tomatlan,MX,19.9333,-105.25,83.77,70,98,1.66,2022-08-15 16:18:34,overcast clouds
257,Naryan-Mar,RU,67.6713,53.087,50.9,68,66,15.86,2022-08-15 16:18:35,broken clouds
